timestamp,type,severity,message,estimated_saving_kwh,condition
2006-12-23 03:00:00,Night_Idle_Waste,Low,"Idle consumption 1.77kW at 3h. Check standby: router, fridge, Sub_metering_3.",1.472,hour in 1-5 & kW>0.8
2006-12-23 04:00:00,Night_Idle_Waste,Low,"Idle consumption 1.89kW at 4h. Check standby: router, fridge, Sub_metering_3.",1.592,hour in 1-5 & kW>0.8
2006-12-23 05:00:00,Night_Idle_Waste,Low,"Idle consumption 2.23kW at 5h. Check standby: router, fridge, Sub_metering_3.",1.929,hour in 1-5 & kW>0.8
2006-12-23 18:00:00,Peak_Shift,High,High consumption 3.88kW at 18.0h (peak). Shift washing/dishwasher to 13-16h off-peak.,0.776,hour=18 & kW>3.78
2006-12-23 19:00:00,Peak_Shift,High,High consumption 4.12kW at 19.0h (peak). Shift washing/dishwasher to 13-16h off-peak.,0.824,hour=19 & kW>3.79
2006-12-23 20:00:00,Peak_Shift,High,High consumption 4.18kW at 20.0h (peak). Shift washing/dishwasher to 13-16h off-peak.,0.836,hour=20 & kW>3.82
2006-12-24 01:00:00,Night_Idle_Waste,Low,"Idle consumption 3.28kW at 1h. Check standby: router, fridge, Sub_metering_3.",2.976,hour in 1-5 & kW>0.8
2006-12-24 02:00:00,Night_Idle_Waste,Low,"Idle consumption 2.30kW at 2h. Check standby: router, fridge, Sub_metering_3.",2.003,hour in 1-5 & kW>0.8
2006-12-24 03:00:00,Night_Idle_Waste,Low,"Idle consumption 1.61kW at 3h. Check standby: router, fridge, Sub_metering_3.",1.307,hour in 1-5 & kW>0.8
2006-12-24 04:00:00,Night_Idle_Waste,Low,"Idle consumption 1.58kW at 4h. Check standby: router, fridge, Sub_metering_3.",1.276,hour in 1-5 & kW>0.8
2006-12-24 05:00:00,Night_Idle_Waste,Low,"Idle consumption 1.63kW at 5h. Check standby: router, fridge, Sub_metering_3.",1.332,hour in 1-5 & kW>0.8
2006-12-25 01:00:00,Night_Idle_Waste,Low,"Idle consumption 1.21kW at 1h. Check standby: router, fridge, Sub_metering_3.",0.907,hour in 1-5 & kW>0.8
2006-12-25 18:00:00,Peak_Shift,Medium,High consumption 2.42kW at 18.0h (peak). Shift washing/dishwasher to 13-16h off-peak.,0.485,hour=18 & kW>1.69
2006-12-25 20:00:00,Peak_Shift,Medium,High consumption 1.98kW at 20.0h (peak). Shift washing/dishwasher to 13-16h off-peak.,0.395,hour=20 & kW>1.83
2006-12-25 21:00:00,Peak_Shift,High,High consumption 3.84kW at 21.0h (peak). Shift washing/dishwasher to 13-16h off-peak.,0.767,hour=21 & kW>1.99
2006-12-26 01:00:00,Night_Idle_Waste,Low,"Idle consumption 2.40kW at 1h. Check standby: router, fridge, Sub_metering_3.",2.103,hour in 1-5 & kW>0.8
2006-12-26 02:00:00,Night_Idle_Waste,Low,"Idle consumption 2.41kW at 2h. Check standby: router, fridge, Sub_metering_3.",2.111,hour in 1-5 & kW>0.8
2006-12-26 03:00:00,Night_Idle_Waste,Low,"Idle consumption 2.45kW at 3h. Check standby: router, fridge, Sub_metering_3.",2.149,hour in 1-5 & kW>0.8
2006-12-26 04:00:00,Night_Idle_Waste,Low,"Idle consumption 2.99kW at 4h. Check standby: router, fridge, Sub_metering_3.",2.693,hour in 1-5 & kW>0.8
2006-12-26 05:00:00,Night_Idle_Waste,Low,"Idle consumption 2.39kW at 5h. Check standby: router, fridge, Sub_metering_3.",2.088,hour in 1-5 & kW>0.8
2006-12-27 05:00:00,Night_Idle_Waste,Low,"Idle consumption 1.04kW at 5h. Check standby: router, fridge, Sub_metering_3.",0.737,hour in 1-5 & kW>0.8
2006-12-27 18:00:00,Peak_Shift,Medium,High consumption 1.82kW at 18.0h (peak). Shift washing/dishwasher to 13-16h off-peak.,0.365,hour=18 & kW>1.47
2006-12-27 19:00:00,Peak_Shift,Medium,High consumption 1.74kW at 19.0h (peak). Shift washing/dishwasher to 13-16h off-peak.,0.347,hour=19 & kW>1.41
2006-12-27 20:00:00,Peak_Shift,Medium,High consumption 2.35kW at 20.0h (peak). Shift washing/dishwasher to 13-16h off-peak.,0.471,hour=20 & kW>1.35
2006-12-28 18:00:00,Peak_Shift,Medium,High consumption 2.54kW at 18.0h (peak). Shift washing/dishwasher to 13-16h off-peak.,0.509,hour=18 & kW>1.30
2006-12-28 19:00:00,Peak_Shift,Medium,High consumption 2.85kW at 19.0h (peak). Shift washing/dishwasher to 13-16h off-peak.,0.57,hour=19 & kW>1.36
2006-12-28 20:00:00,Peak_Shift,Medium,High consumption 2.12kW at 20.0h (peak). Shift washing/dishwasher to 13-16h off-peak.,0.423,hour=20 & kW>1.35
2006-12-28 21:00:00,Peak_Shift,High,High consumption 5.04kW at 21.0h (peak). Shift washing/dishwasher to 13-16h off-peak.,1.007,hour=21 & kW>1.53
2006-12-29 01:00:00,Night_Idle_Waste,Low,"Idle consumption 1.99kW at 1h. Check standby: router, fridge, Sub_metering_3.",1.694,hour in 1-5 & kW>0.8
2006-12-29 02:00:00,Night_Idle_Waste,Low,"Idle consumption 2.15kW at 2h. Check standby: router, fridge, Sub_metering_3.",1.852,hour in 1-5 & kW>0.8
2006-12-29 03:00:00,Night_Idle_Waste,Low,"Idle consumption 2.45kW at 3h. Check standby: router, fridge, Sub_metering_3.",2.153,hour in 1-5 & kW>0.8
2006-12-29 04:00:00,Night_Idle_Waste,Low,"Idle consumption 2.47kW at 4h. Check standby: router, fridge, Sub_metering_3.",2.171,hour in 1-5 & kW>0.8
2006-12-29 05:00:00,Night_Idle_Waste,Low,"Idle consumption 2.39kW at 5h. Check standby: router, fridge, Sub_metering_3.",2.086,hour in 1-5 & kW>0.8
2006-12-29 20:00:00,Peak_Shift,High,High consumption 3.47kW at 20.0h (peak). Shift washing/dishwasher to 13-16h off-peak.,0.694,hour=20 & kW>2.71
2006-12-29 21:00:00,Peak_Shift,High,High consumption 4.31kW at 21.0h (peak). Shift washing/dishwasher to 13-16h off-peak.,0.863,hour=21 & kW>2.67
2006-12-30 18:00:00,Peak_Shift,High,High consumption 3.86kW at 18.0h (peak). Shift washing/dishwasher to 13-16h off-peak.,0.773,hour=18 & kW>2.54
2006-12-30 19:00:00,Peak_Shift,High,High consumption 3.75kW at 19.0h (peak). Shift washing/dishwasher to 13-16h off-peak.,0.751,hour=19 & kW>2.64
2006-12-30 20:00:00,Peak_Shift,High,High consumption 3.08kW at 20.0h (peak). Shift washing/dishwasher to 13-16h off-peak.,0.615,hour=20 & kW>2.62
2006-12-31 04:00:00,Night_Idle_Waste,Low,"Idle consumption 1.28kW at 4h. Check standby: router, fridge, Sub_metering_3.",0.978,hour in 1-5 & kW>0.8
2006-12-31 05:00:00,Night_Idle_Waste,Low,"Idle consumption 1.05kW at 5h. Check standby: router, fridge, Sub_metering_3.",0.751,hour in 1-5 & kW>0.8
2007-01-01 01:00:00,Night_Idle_Waste,Low,"Idle consumption 2.52kW at 1h. Check standby: router, fridge, Sub_metering_3.",2.223,hour in 1-5 & kW>0.8
2007-01-01 02:00:00,Night_Idle_Waste,Low,"Idle consumption 2.58kW at 2h. Check standby: router, fridge, Sub_metering_3.",2.282,hour in 1-5 & kW>0.8
2007-01-01 03:00:00,Night_Idle_Waste,Low,"Idle consumption 2.54kW at 3h. Check standby: router, fridge, Sub_metering_3.",2.242,hour in 1-5 & kW>0.8
2007-01-01 04:00:00,Night_Idle_Waste,Low,"Idle consumption 2.48kW at 4h. Check standby: router, fridge, Sub_metering_3.",2.176,hour in 1-5 & kW>0.8
2007-01-01 05:00:00,Night_Idle_Waste,Low,"Idle consumption 2.48kW at 5h. Check standby: router, fridge, Sub_metering_3.",2.176,hour in 1-5 & kW>0.8
2007-01-02 04:00:00,Night_Idle_Waste,Low,"Idle consumption 1.04kW at 4h. Check standby: router, fridge, Sub_metering_3.",0.74,hour in 1-5 & kW>0.8
2007-01-02 18:00:00,Peak_Shift,Medium,High consumption 1.97kW at 18.0h (peak). Shift washing/dishwasher to 13-16h off-peak.,0.394,hour=18 & kW>0.85
2007-01-02 19:00:00,Peak_Shift,Medium,High consumption 1.52kW at 19.0h (peak). Shift washing/dishwasher to 13-16h off-peak.,0.304,hour=19 & kW>0.89
2007-01-02 20:00:00,Peak_Shift,Medium,High consumption 2.57kW at 20.0h (peak). Shift washing/dishwasher to 13-16h off-peak.,0.515,hour=20 & kW>0.99
2007-01-03 01:00:00,Night_Idle_Waste,Low,"Idle consumption 0.90kW at 1h. Check standby: router, fridge, Sub_metering_3.",0.601,hour in 1-5 & kW>0.8
2007-01-03 05:00:00,Night_Idle_Waste,Low,"Idle consumption 0.95kW at 5h. Check standby: router, fridge, Sub_metering_3.",0.652,hour in 1-5 & kW>0.8
2007-01-04 01:00:00,Night_Idle_Waste,Low,"Idle consumption 2.90kW at 1h. Check standby: router, fridge, Sub_metering_3.",2.597,hour in 1-5 & kW>0.8
2007-01-04 02:00:00,Night_Idle_Waste,Low,"Idle consumption 2.39kW at 2h. Check standby: router, fridge, Sub_metering_3.",2.087,hour in 1-5 & kW>0.8
2007-01-04 03:00:00,Night_Idle_Waste,Low,"Idle consumption 2.36kW at 3h. Check standby: router, fridge, Sub_metering_3.",2.062,hour in 1-5 & kW>0.8
2007-01-04 04:00:00,Night_Idle_Waste,Low,"Idle consumption 2.37kW at 4h. Check standby: router, fridge, Sub_metering_3.",2.07,hour in 1-5 & kW>0.8
2007-01-04 05:00:00,Night_Idle_Waste,Low,"Idle consumption 2.35kW at 5h. Check standby: router, fridge, Sub_metering_3.",2.045,hour in 1-5 & kW>0.8
2007-01-04 19:00:00,Peak_Shift,Medium,High consumption 2.85kW at 19.0h (peak). Shift washing/dishwasher to 13-16h off-peak.,0.571,hour=19 & kW>2.77
2007-01-05 01:00:00,Night_Idle_Waste,Low,"Idle consumption 2.39kW at 1h. Check standby: router, fridge, Sub_metering_3.",2.087,hour in 1-5 & kW>0.8
2007-01-05 02:00:00,Night_Idle_Waste,Low,"Idle consumption 2.39kW at 2h. Check standby: router, fridge, Sub_metering_3.",2.095,hour in 1-5 & kW>0.8
2007-01-05 03:00:00,Night_Idle_Waste,Low,"Idle consumption 2.42kW at 3h. Check standby: router, fridge, Sub_metering_3.",2.116,hour in 1-5 & kW>0.8
2007-01-05 04:00:00,Night_Idle_Waste,Low,"Idle consumption 2.40kW at 4h. Check standby: router, fridge, Sub_metering_3.",2.097,hour in 1-5 & kW>0.8
2007-01-05 05:00:00,Night_Idle_Waste,Low,"Idle consumption 2.41kW at 5h. Check standby: router, fridge, Sub_metering_3.",2.107,hour in 1-5 & kW>0.8
2007-01-05 18:00:00,Peak_Shift,Medium,High consumption 2.40kW at 18.0h (peak). Shift washing/dishwasher to 13-16h off-peak.,0.48,hour=18 & kW>1.96
2007-01-05 19:00:00,Peak_Shift,Medium,High consumption 2.04kW at 19.0h (peak). Shift washing/dishwasher to 13-16h off-peak.,0.408,hour=19 & kW>1.92
2007-01-05 20:00:00,Peak_Shift,Medium,High consumption 2.98kW at 20.0h (peak). Shift washing/dishwasher to 13-16h off-peak.,0.595,hour=20 & kW>1.99
2007-01-05 21:00:00,Peak_Shift,Medium,High consumption 2.67kW at 21.0h (peak). Shift washing/dishwasher to 13-16h off-peak.,0.535,hour=21 & kW>2.10
2007-01-06 19:00:00,Peak_Shift,Medium,High consumption 1.83kW at 19.0h (peak). Shift washing/dishwasher to 13-16h off-peak.,0.367,hour=19 & kW>1.59
2007-01-07 18:00:00,Peak_Shift,High,High consumption 5.21kW at 18.0h (peak). Shift washing/dishwasher to 13-16h off-peak.,1.042,hour=18 & kW>1.55
2007-01-07 19:00:00,Peak_Shift,Medium,High consumption 2.92kW at 19.0h (peak). Shift washing/dishwasher to 13-16h off-peak.,0.583,hour=19 & kW>1.60
2007-01-07 20:00:00,Peak_Shift,High,High consumption 3.52kW at 20.0h (peak). Shift washing/dishwasher to 13-16h off-peak.,0.705,hour=20 & kW>1.72
2007-01-07 21:00:00,Peak_Shift,High,High consumption 4.74kW at 21.0h (peak). Shift washing/dishwasher to 13-16h off-peak.,0.948,hour=21 & kW>1.91
2007-01-08 01:00:00,Night_Idle_Waste,Low,"Idle consumption 1.35kW at 1h. Check standby: router, fridge, Sub_metering_3.",1.051,hour in 1-5 & kW>0.8
2007-01-08 02:00:00,Night_Idle_Waste,Low,"Idle consumption 1.38kW at 2h. Check standby: router, fridge, Sub_metering_3.",1.085,hour in 1-5 & kW>0.8
2007-01-08 03:00:00,Night_Idle_Waste,Low,"Idle consumption 1.36kW at 3h. Check standby: router, fridge, Sub_metering_3.",1.057,hour in 1-5 & kW>0.8
2007-01-08 04:00:00,Night_Idle_Waste,Low,"Idle consumption 1.38kW at 4h. Check standby: router, fridge, Sub_metering_3.",1.076,hour in 1-5 & kW>0.8
2007-01-08 05:00:00,Night_Idle_Waste,Low,"Idle consumption 1.10kW at 5h. Check standby: router, fridge, Sub_metering_3.",0.805,hour in 1-5 & kW>0.8
2007-01-08 18:00:00,Peak_Shift,Medium,High consumption 2.91kW at 18.0h (peak). Shift washing/dishwasher to 13-16h off-peak.,0.582,hour=18 & kW>2.10
2007-01-08 19:00:00,Peak_Shift,Medium,High consumption 2.79kW at 19.0h (peak). Shift washing/dishwasher to 13-16h off-peak.,0.559,hour=19 & kW>2.10
2007-01-08 20:00:00,Peak_Shift,High,High consumption 3.43kW at 20.0h (peak). Shift washing/dishwasher to 13-16h off-peak.,0.685,hour=20 & kW>2.09
2007-01-08 21:00:00,Peak_Shift,Medium,High consumption 2.51kW at 21.0h (peak). Shift washing/dishwasher to 13-16h off-peak.,0.502,hour=21 & kW>1.98
2007-01-09 18:00:00,Peak_Shift,Medium,High consumption 2.37kW at 18.0h (peak). Shift washing/dishwasher to 13-16h off-peak.,0.475,hour=18 & kW>1.47
2007-01-09 19:00:00,Peak_Shift,Medium,High consumption 2.29kW at 19.0h (peak). Shift washing/dishwasher to 13-16h off-peak.,0.457,hour=19 & kW>1.45
2007-01-09 20:00:00,Peak_Shift,High,High consumption 3.21kW at 20.0h (peak). Shift washing/dishwasher to 13-16h off-peak.,0.642,hour=20 & kW>1.44
2007-01-09 21:00:00,Peak_Shift,High,High consumption 3.29kW at 21.0h (peak). Shift washing/dishwasher to 13-16h off-peak.,0.658,hour=21 & kW>1.48
2007-01-10 11:00:00,Anomaly_Inspection,High,Anomaly detected: 3.97kW vs expected 1.82kW (residual 2.15). Check appliance left on.,2.151,z_score=4.45 | abs_error=2.15
2007-01-10 18:00:00,Peak_Shift,High,High consumption 3.36kW at 18.0h (peak). Shift washing/dishwasher to 13-16h off-peak.,0.673,hour=18 & kW>1.93
2007-01-10 19:00:00,Peak_Shift,High,High consumption 3.19kW at 19.0h (peak). Shift washing/dishwasher to 13-16h off-peak.,0.638,hour=19 & kW>1.97
2007-01-10 20:00:00,Peak_Shift,Medium,High consumption 2.93kW at 20.0h (peak). Shift washing/dishwasher to 13-16h off-peak.,0.587,hour=20 & kW>1.96
2007-01-11 03:00:00,Night_Idle_Waste,Low,"Idle consumption 0.89kW at 3h. Check standby: router, fridge, Sub_metering_3.",0.592,hour in 1-5 & kW>0.8
2007-01-11 18:00:00,Peak_Shift,High,High consumption 3.87kW at 18.0h (peak). Shift washing/dishwasher to 13-16h off-peak.,0.774,hour=18 & kW>1.63
2007-01-11 19:00:00,Peak_Shift,High,High consumption 4.78kW at 19.0h (peak). Shift washing/dishwasher to 13-16h off-peak.,0.957,hour=19 & kW>1.71
2007-01-11 20:00:00,Peak_Shift,High,High consumption 3.71kW at 20.0h (peak). Shift washing/dishwasher to 13-16h off-peak.,0.741,hour=20 & kW>1.74
2007-01-11 21:00:00,Peak_Shift,Medium,High consumption 2.88kW at 21.0h (peak). Shift washing/dishwasher to 13-16h off-peak.,0.576,hour=21 & kW>1.80
2007-01-12 05:00:00,Night_Idle_Waste,Low,"Idle consumption 0.81kW at 5h. Check standby: router, fridge, Sub_metering_3.",0.512,hour in 1-5 & kW>0.8
2007-01-12 18:00:00,Peak_Shift,Medium,High consumption 2.55kW at 18.0h (peak). Shift washing/dishwasher to 13-16h off-peak.,0.51,hour=18 & kW>1.51
2007-01-12 19:00:00,Peak_Shift,Medium,High consumption 2.23kW at 19.0h (peak). Shift washing/dishwasher to 13-16h off-peak.,0.447,hour=19 & kW>1.38
2007-01-12 20:00:00,Peak_Shift,Medium,High consumption 2.30kW at 20.0h (peak). Shift washing/dishwasher to 13-16h off-peak.,0.459,hour=20 & kW>1.31
2007-01-12 21:00:00,Peak_Shift,Medium,High consumption 1.51kW at 21.0h (peak). Shift washing/dishwasher to 13-16h off-peak.,0.303,hour=21 & kW>1.24
2007-01-13 19:00:00,Peak_Shift,High,High consumption 3.15kW at 19.0h (peak). Shift washing/dishwasher to 13-16h off-peak.,0.631,hour=19 & kW>1.94
2007-01-13 20:00:00,Peak_Shift,High,High consumption 4.51kW at 20.0h (peak). Shift washing/dishwasher to 13-16h off-peak.,0.902,hour=20 & kW>2.05
2007-01-13 21:00:00,Peak_Shift,High,High consumption 4.98kW at 21.0h (peak). Shift washing/dishwasher to 13-16h off-peak.,0.996,hour=21 & kW>2.23
2007-01-14 01:00:00,Night_Idle_Waste,Low,"Idle consumption 2.92kW at 1h. Check standby: router, fridge, Sub_metering_3.",2.616,hour in 1-5 & kW>0.8
2007-01-14 02:00:00,Night_Idle_Waste,Low,"Idle consumption 2.88kW at 2h. Check standby: router, fridge, Sub_metering_3.",2.579,hour in 1-5 & kW>0.8
2007-01-14 03:00:00,Night_Idle_Waste,Low,"Idle consumption 1.12kW at 3h. Check standby: router, fridge, Sub_metering_3.",0.822,hour in 1-5 & kW>0.8
2007-01-14 04:00:00,Night_Idle_Waste,Low,"Idle consumption 1.13kW at 4h. Check standby: router, fridge, Sub_metering_3.",0.834,hour in 1-5 & kW>0.8
2007-01-14 05:00:00,Night_Idle_Waste,Low,"Idle consumption 1.19kW at 5h. Check standby: router, fridge, Sub_metering_3.",0.894,hour in 1-5 & kW>0.8
2007-01-14 18:00:00,Peak_Shift,High,High consumption 3.59kW at 18.0h (peak). Shift washing/dishwasher to 13-16h off-peak.,0.718,hour=18 & kW>3.11
2007-01-14 19:00:00,Peak_Shift,High,High consumption 3.29kW at 19.0h (peak). Shift washing/dishwasher to 13-16h off-peak.,0.658,hour=19 & kW>3.12
2007-01-14 20:00:00,Peak_Shift,High,High consumption 3.19kW at 20.0h (peak). Shift washing/dishwasher to 13-16h off-peak.,0.639,hour=20 & kW>3.06
2007-01-15 01:00:00,Night_Idle_Waste,Low,"Idle consumption 1.34kW at 1h. Check standby: router, fridge, Sub_metering_3.",1.042,hour in 1-5 & kW>0.8
2007-01-15 18:00:00,Peak_Shift,Medium,High consumption 2.25kW at 18.0h (peak). Shift washing/dishwasher to 13-16h off-peak.,0.45,hour=18 & kW>1.78
2007-01-15 19:00:00,Peak_Shift,Medium,High consumption 2.97kW at 19.0h (peak). Shift washing/dishwasher to 13-16h off-peak.,0.594,hour=19 & kW>1.76
2007-01-15 20:00:00,Peak_Shift,Medium,High consumption 2.74kW at 20.0h (peak). Shift washing/dishwasher to 13-16h off-peak.,0.549,hour=20 & kW>1.74
2007-01-16 18:00:00,Peak_Shift,High,High consumption 3.13kW at 18.0h (peak). Shift washing/dishwasher to 13-16h off-peak.,0.625,hour=18 & kW>1.68
2007-01-16 19:00:00,Peak_Shift,Medium,High consumption 1.96kW at 19.0h (peak). Shift washing/dishwasher to 13-16h off-peak.,0.392,hour=19 & kW>1.63
2007-01-17 02:00:00,Night_Idle_Waste,Low,"Idle consumption 0.86kW at 2h. Check standby: router, fridge, Sub_metering_3.",0.56,hour in 1-5 & kW>0.8
2007-01-17 15:00:00,Anomaly_Inspection,High,Anomaly detected: 3.87kW vs expected 1.72kW (residual 2.15). Check appliance left on.,2.151,z_score=4.31 | abs_error=2.15
2007-01-17 19:00:00,Peak_Shift,Medium,High consumption 2.61kW at 19.0h (peak). Shift washing/dishwasher to 13-16h off-peak.,0.521,hour=19 & kW>2.01
2007-01-17 20:00:00,Peak_Shift,High,High consumption 3.22kW at 20.0h (peak). Shift washing/dishwasher to 13-16h off-peak.,0.644,hour=20 & kW>2.10
2007-01-17 21:00:00,Peak_Shift,High,High consumption 3.54kW at 21.0h (peak). Shift washing/dishwasher to 13-16h off-peak.,0.709,hour=21 & kW>2.21
2007-01-18 01:00:00,Night_Idle_Waste,Low,"Idle consumption 1.13kW at 1h. Check standby: router, fridge, Sub_metering_3.",0.829,hour in 1-5 & kW>0.8
2007-01-18 18:00:00,Peak_Shift,High,High consumption 3.13kW at 18.0h (peak). Shift washing/dishwasher to 13-16h off-peak.,0.627,hour=18 & kW>1.70
2007-01-18 19:00:00,Peak_Shift,Medium,High consumption 2.79kW at 19.0h (peak). Shift washing/dishwasher to 13-16h off-peak.,0.559,hour=19 & kW>1.71
2007-01-18 20:00:00,Peak_Shift,Medium,High consumption 2.97kW at 20.0h (peak). Shift washing/dishwasher to 13-16h off-peak.,0.594,hour=20 & kW>1.69
2007-01-18 21:00:00,Peak_Shift,Medium,High consumption 2.78kW at 21.0h (peak). Shift washing/dishwasher to 13-16h off-peak.,0.556,hour=21 & kW>1.66
2007-01-19 20:00:00,Peak_Shift,Medium,High consumption 1.55kW at 20.0h (peak). Shift washing/dishwasher to 13-16h off-peak.,0.309,hour=20 & kW>1.13
2007-01-19 21:00:00,Peak_Shift,Medium,High consumption 2.42kW at 21.0h (peak). Shift washing/dishwasher to 13-16h off-peak.,0.485,hour=21 & kW>1.11
2007-01-20 01:00:00,Night_Idle_Waste,Low,"Idle consumption 1.15kW at 1h. Check standby: router, fridge, Sub_metering_3.",0.849,hour in 1-5 & kW>0.8
2007-01-20 02:00:00,Night_Idle_Waste,Low,"Idle consumption 1.04kW at 2h. Check standby: router, fridge, Sub_metering_3.",0.738,hour in 1-5 & kW>0.8
2007-01-20 03:00:00,Night_Idle_Waste,Low,"Idle consumption 1.12kW at 3h. Check standby: router, fridge, Sub_metering_3.",0.82,hour in 1-5 & kW>0.8
2007-01-20 04:00:00,Night_Idle_Waste,Low,"Idle consumption 1.02kW at 4h. Check standby: router, fridge, Sub_metering_3.",0.723,hour in 1-5 & kW>0.8
2007-01-20 05:00:00,Night_Idle_Waste,Low,"Idle consumption 1.05kW at 5h. Check standby: router, fridge, Sub_metering_3.",0.751,hour in 1-5 & kW>0.8
